gene,tpm
LINC01128,3.603
LINC00115,10.78
SAMD11,0.0791
NOC2L,102.7
KLHL17,27.36
PLEKHN1,1.95
PERM1,0.3364
HES4,12.56
ISG15,225.8
AGRN,41.62
C1orf159,9.621
LINC01342,0.04222
TTLL10,0.04397
TNFRSF18,11.53
TNFRSF4,11.85
SDF4,95.35
B3GALT6,8.473
UBE2J2,31.42
SCNN1D,4.35
ACAP3,18.39
PUSL1,21.29
CPTP,12.6
DVL1,38.83
MXRA8,1.085
AURKAIP1,95.86
CCNL2,127.4
MRPL20,84.57
ANKRD65,4.179
VWA1,0.6482
ATAD3C,0.1772
ATAD3B,27.81
ATAD3A,29.24
SSU72,49.41
FNDC10,3.641
MIB2,19.92
NADK,69.48
GNB1,288.1
CALML6,0.4967
TMEM52,0.7757
CFAP74,0.02524
GABRD,0.0
PRKCZ,0.707
FAAP20,13.77
SKI,13.34
MORN1,1.083
RER1,57.74
PEX10,19.41
PLCH2,3.42
PANK4,22.36
HES5,0.6285
TNFRSF14,298.5
MMEL1,0.07147
ACTRT2,0.0
PRDM16,0.0221
ARHGEF16,0.1401
MEGF6,0.5057
TPRG1L,35.96
WRAP73,34.1
TP73,1.022
TP73-AS1,23.62
CCDC27,0.05901
SMIM1,2.007
LRRC47,32.41
CEP104,13.18
DFFB,7.841
C1orf174,44.28
LINC01134,0.1178
LINC01346,0.0
AJAP1,0.005514
NPHP4,4.292
KCNAB2,58.25
CHD5,0.1729
RPL22,572.8
RNF207,9.837
ICMT,22.54
GPR153,2.899
ACOT7,46.34
HES2,0.4554
ESPN,0.08228
TNFRSF25,8.461
PLEKHG5,0.6388
NOL9,13.04
TAS1R1,0.02365
ZBTB48,23.0
KLHL21,13.54
PHF13,24.01
THAP3,18.64
DNAJC11,27.93
CAMTA1,6.347
VAMP3,26.48
PER3,1.97
UTS2,0.0
TNFRSF9,3.5
PARK7,278.3
ERRFI1,0.6699
SLC45A1,0.02428
RERE,71.45
ENO1,2972.0
ENO1-AS1,3.109
CA6,0.0
SLC2A5,27.71
GPR157,6.08
H6PD,20.88
SPSB1,3.075
SLC25A33,9.53
TMEM201,8.513
PIK3CD,160.1
PIK3CD-AS1,4.315
PIK3CD-AS2,19.52
CLSTN1,31.27
CTNNBIP1,8.776
LZIC,12.27
NMNAT1,6.407
RBP7,0.3178
UBE4B,18.25
KIF1B,3.51
PGD,109.2
CORT,0.6658
DFFA,33.69
PEX14,21.7
CASZ1,4.725
C1orf127,0.147
TARDBP,114.0
MASP2,3.866
SRM,122.1
EXOSC10,84.19
MTOR,16.38
ANGPTL7,0.2445
UBIAD1,11.72
DISP3,0.0
FBXO2,0.9969
FBXO44,31.2
FBXO6,30.37
MAD2L2,28.42
DRAXIN,0.0
AGTRAP,7.781
C1orf167,0.03513
MTHFR,13.76
CLCN6,27.03
NPPA,2.132
NPPB,0.5913
KIAA2013,50.22
PLOD1,34.16
MFN2,53.1
MIIP,52.74
TNFRSF8,36.34
TNFRSF1B,62.51
VPS13D,8.057
DHRS3,3.448
PRAMEF12,0.0
PRAMEF11,0.0
PRAMEF10,0.0
LRRC38,0.0
PDPN,1.015
PRDM2,44.98
KAZN,4.477
TMEM51-AS1,0.2812
TMEM51,45.68
FHAD1,0.1469
EFHD2,67.83
CTRC,0.07848
CELA2B,0.1951
CASP9,6.445
DNAJC16,8.929
AGMAT,6.082
PLEKHM2,62.23
SLC25A34,0.4303
FBLIM1,0.145
SPEN,38.8
ZBTB17,20.33
HSPB7,1.158
CLCNKB,0.0
FAM131C,0.1608
EPHA2,0.1973
ARHGEF19,2.379
FBXO42,10.64
SZRD1,106.8
SPATA21,0.0
NECAP2,104.0
CROCCP3,0.8535
NBPF1,3.198
CROCCP2,29.42
MST1L,0.2377
CROCC,6.4
MFAP2,0.09386
ATP13A2,15.77
SDHB,130.3
PADI2,0.5601
PADI1,0.04185
PADI3,0.0
PADI4,0.04604
RCC2,135.1
ARHGEF10L,0.6737
ACTL8,0.0
IGSF21,0.05856
KLHDC7A,0.0
PAX7,0.0
TAS1R2,0.05381
