protein_id,npx_value
A1BG,0.15805
AAMDC,-0.53475
AARSD1,-1.0466
ABCA2,0.3754
ABHD14B,-2.1575
ABL1,-0.9879
ABO,0.7988
ABRAXAS2,-2.24575
ACAA1,0.7123
ACADM,-0.95305
ACADSB,-1.28695
ACAN,0.1641
ACE,0.38145
ACE2,0.2525
ACHE,0.2112
ACOT13,-1.2297
ACOX1,-0.5505
ACP1,-2.1829
ACP5,0.0978
ACP6,-0.3702
ACRBP,0.07515
ACRV1,0.0905
ACTA2,-0.8029
ACTN2,-0.567
ACTN4,-0.5737
ACVRL1,-0.0651
ACY1,-0.0608
ACY3,-0.3656
ACYP1,-0.7777
ADA,0.0718999999999999
ADA2,-0.4266
ADAM12,-0.1173
ADAM15,0.0821
ADAM22,-0.3218
ADAM23,-0.7649
ADAM8,-0.6894
ADAM9,-0.68405
ADAMTS1,-1.5326
ADAMTS13,0.7391
ADAMTS15,-0.5807
ADAMTS16,-0.5091
ADAMTS4,0.1551
ADAMTS8,0.8874
ADAMTSL2,-0.81575
ADAMTSL4,-0.3472
ADAMTSL5,0.54765
ADCYAP1R1,-0.531
ADD1,-0.24005
ADGRB3,-0.1656
ADGRD1,-0.10265
ADGRE1,-0.8437
ADGRE2,-0.5053
ADGRE5,-0.2996
ADGRF5,-0.10265
ADGRG1,-0.7682
ADGRG2,0.4437
ADGRV1,-1.4321
ADH1B,-0.0786
ADH4,-0.0546000000000001
ADM,-0.0689
ADRA2A,0.8322
AFAP1,-1.12925
AFM,0.3468
AFP,-0.7067
AGER,-0.4314
AGR2,-0.6186
AGR3,-0.0868
AGRN,0.3119
AGRP,-0.5537
AGT,-0.15675
AGXT,1.4827
AHCY,-0.9377
AHNAK,-0.31915
AHNAK2,0.116
AHSA1,-1.49495
AHSG,0.18585
AHSP,-0.989
AIDA,0.684
AIF1,0.8599
AIF1L,-0.32205
AIFM1,0.6441
AK1,0.1389
AK2,-1.256
AKAP12,0.3728
AKR1B1,-0.9183
AKR1B10,0.6489
AKR1C4,-0.2881
AKR7L,-0.452
AKT1S1,-1.957
AKT2,-3.1833
AKT3,-7.9338
ALCAM,-0.2071
ALDH1A1,-0.2134
ALDH2,0.34015
ALDH3A1,0.1441
ALDH5A1,-0.0858
ALMS1,-0.3943
ALPI,1.67975
ALPP,0.9386
AMBN,-0.4019
AMBP,-0.2033
AMDHD2,0.41315
AMFR,0.0774
AMIGO1,-0.3704
AMIGO2,-0.0461
AMN,-0.1776
AMOT,0.11335
AMOTL2,-0.60465
AMPD3,-0.4892
AMY1A_AMY1B_AMY1C,0.71075
AMY2A,0.5807
AMY2B,0.69
ANG,0.2687
ANGPT1,-0.8361
ANGPT2,0.0255
ANGPTL1,-0.3339
ANGPTL2,-0.7913
ANGPTL3,-0.2181
ANGPTL4,-0.4628
ANK2,0.82705
ANKMY2,-7.58595
ANKRA2,-0.19415
ANKRD54,-0.5141
ANP32C,0.2624
ANPEP,0.3533
ANXA1,-0.42275
ANXA10,-0.8731
ANXA11,-0.3087
ANXA2,0.0172
ANXA3,-0.1757
ANXA4,-0.7473
ANXA5,-2.5767
AOC1,-0.6338
AOC3,-0.3896
AP1G2,-1.93465
AP2B1,-0.6737
AP3B1,-1.73275
AP3S2,-1.2614
APBB1IP,-0.3027
APCS,0.37765
APEX1,-1.0073
APLP1,1.3529
APOA1,-0.19945
APOA2,-0.61425
APOA4,-0.56295
APOB,0.3342
APOBR,-0.48195
APOC1,-0.65055
APOD,0.3223
APOE,-0.6408
APOF,-2.4002
APOH,-0.0418
APOL1,2.1632
APOM,0.4704
APP,0.0686
APPL2,-2.26355
APRT,-1.4527
ARAF,-0.75095
AREG,-0.5776
ARF6,-2.50475
ARFIP1,-0.1402
ARG1,-1.0672
ARG2,-1.17305
ARHGAP1,-0.3324
ARHGAP25,-1.4332
ARHGAP30,-0.4806
ARHGAP45,-0.3021
ARHGAP5,-0.1215
ARHGEF1,-1.0414
ARHGEF10,-1.4199
ARHGEF12,-2.1622
ARHGEF5,-0.2667
ARID3A,0.0378
ARID4B,-0.3842
ARL2BP,0.2613
ARMCX2,-0.1465
ARNT,-1.0452
ARNTL,0.9184
ARSA,0.1152
ARSB,0.0902
ART3,-0.6831
ART5,-0.9607
ARTN,-0.1804
ASAH1,-0.0706
ASAH2,0.7253
ASGR1,-0.4097
ASGR2,-0.6877
ASPN,-0.11745
ASPSCR1,-1.0618
ASRGL1,0.5655
ASS1,0.1365
ATF2,0.1989
ATF4,-1.6242
ATG16L1,-0.62065
ATG4A,-1.0313
ATOX1,-1.2982
ATP1B1,0.03275
ATP1B2,0.38575
ATP1B3,-0.39625
ATP1B4,0.4786
ATP2B4,0.0384500000000002
ATP5F1D,-0.67245
ATP5IF1,-1.5995
ATP5PO,-0.9891
ATP6AP2,-0.6388
ATP6V1D,-0.4184
ATP6V1F,-0.0846999999999998
ATP6V1G1,-1.1671
ATRAID,-0.23715
ATRN,-0.03615
ATXN10,-1.5039
ATXN2,1.9343
ATXN2L,0.4309
ATXN3,-1.3108
AXIN1,-1.1747
AXL,-0.5533
AZI2,-1.1972
AZU1,-0.2768
B2M,-0.3794
B3GNT7,0.0743
B4GALT1,-0.2523
B4GAT1,0.1236
BABAM1,0.21875
BACH1,-0.3929
BAG3,-0.1982
BAG4,-1.39615
BAG6,-0.1529
BAIAP2,0.3409
BAMBI,-0.6171
BANK1,-2.2023
BAP18,-0.5541
BATF,-0.8124
BAX,-1.0844
BCAM,0.0717
BCAN,0.6519
BCAT1,-0.3967
BCAT2,-0.1891
BCHE,0.21405
BCL2,-0.53435
BCL2L1,-1.0545
BCL2L15,-0.94895
BCL7A,-3.3474
BCL7B,0.5677
BCR,-0.4902
BDNF,-1.51235
BECN1,-0.5522
BEX3,-1.02695
BGLAP,-0.0769000000000001
BGN,-0.0794
BHLHE40,-8.5286
BHMT2,-1.42975
