idx	protein_id
0	A1BG
1	AAMDC
2	AARSD1
3	ABCA2
4	ABHD14B
5	ABL1
6	ABO
7	ABRAXAS2
8	ACAA1
9	ACADM
10	ACADSB
11	ACAN
12	ACE
13	ACE2
14	ACHE
15	ACOT13
16	ACOX1
17	ACP1
18	ACP5
19	ACP6
20	ACRBP
21	ACRV1
22	ACTA2
23	ACTN2
24	ACTN4
25	ACVRL1
26	ACY1
27	ACY3
28	ACYP1
29	ADA
30	ADA2
31	ADAM12
32	ADAM15
33	ADAM22
34	ADAM23
35	ADAM8
36	ADAM9
37	ADAMTS1
38	ADAMTS13
39	ADAMTS15
40	ADAMTS16
41	ADAMTS4
42	ADAMTS8
43	ADAMTSL2
44	ADAMTSL4
45	ADAMTSL5
46	ADCYAP1R1
47	ADD1
48	ADGRB3
49	ADGRD1
50	ADGRE1
51	ADGRE2
52	ADGRE5
53	ADGRF5
54	ADGRG1
55	ADGRG2
56	ADGRV1
57	ADH1B
58	ADH4
59	ADM
60	ADRA2A
61	AFAP1
62	AFM
63	AFP
64	AGER
65	AGR2
66	AGR3
67	AGRN
68	AGRP
69	AGT
70	AGXT
71	AHCY
72	AHNAK
73	AHNAK2
74	AHSA1
75	AHSG
76	AHSP
77	AIDA
78	AIF1
79	AIF1L
80	AIFM1
81	AK1
82	AK2
83	AKAP12
84	AKR1B1
85	AKR1B10
86	AKR1C4
87	AKR7L
88	AKT1S1
89	AKT2
90	AKT3
91	ALCAM
92	ALDH1A1
93	ALDH2
94	ALDH3A1
95	ALDH5A1
96	ALMS1
97	ALPI
98	ALPP
99	AMBN
100	AMBP
101	AMDHD2
102	AMFR
103	AMIGO1
104	AMIGO2
105	AMN
106	AMOT
107	AMOTL2
108	AMPD3
109	AMY1A_AMY1B_AMY1C
110	AMY2A
111	AMY2B
112	ANG
113	ANGPT1
114	ANGPT2
115	ANGPTL1
116	ANGPTL2
117	ANGPTL3
118	ANGPTL4
119	ANGPTL7
120	ANK2
121	ANKMY2
122	ANKRA2
123	ANKRD54
124	ANP32C
125	ANPEP
126	ANXA1
127	ANXA10
128	ANXA11
129	ANXA2
130	ANXA3
131	ANXA4
132	ANXA5
133	AOC1
134	AOC3
135	AP1G2
136	AP2B1
137	AP3B1
138	AP3S2
139	APBB1IP
140	APCS
141	APEX1
142	APLP1
143	APOA1
144	APOA2
145	APOA4
146	APOB
147	APOBR
148	APOC1
149	APOD
150	APOE
151	APOF
152	APOH
153	APOL1
154	APOM
155	APP
156	APPL2
157	APRT
158	ARAF
159	AREG
160	ARF6
161	ARFIP1
162	ARG1
163	ARG2
164	ARHGAP1
165	ARHGAP25
166	ARHGAP30
167	ARHGAP45
168	ARHGAP5
169	ARHGEF1
170	ARHGEF10
171	ARHGEF12
172	ARHGEF5
173	ARID3A
174	ARID4B
175	ARL2BP
176	ARMCX2
177	ARNT
178	ARNTL
179	ARSA
180	ARSB
181	ART3
182	ART5
183	ARTN
184	ASAH1
185	ASAH2
186	ASGR1
187	ASGR2
188	ASPN
189	ASPSCR1
190	ASRGL1
191	ASS1
192	ATF2
193	ATF4
194	ATG16L1
195	ATG4A
196	ATOX1
197	ATP1B1
198	ATP1B2
199	ATP1B3
200	ATP1B4
201	ATP2B4
202	ATP5F1D
203	ATP5IF1
204	ATP5PO
205	ATP6AP2
206	ATP6V1D
207	ATP6V1F
208	ATP6V1G1
209	ATRAID
210	ATRN
211	ATXN10
212	ATXN2
213	ATXN2L
214	ATXN3
215	AXIN1
216	AXL
217	AZI2
218	AZU1
219	B2M
220	B3GNT7
221	B4GALT1
222	B4GAT1
223	BABAM1
224	BACH1
225	BAG3
226	BAG4
227	BAG6
228	BAIAP2
229	BAMBI
230	BANK1
231	BAP18
232	BATF
233	BAX
234	BCAM
235	BCAN
236	BCAT1
237	BCAT2
238	BCHE
239	BCL2
240	BCL2L1
241	BCL2L11
242	BCL2L15
243	BCL7A
244	BCL7B
245	BCR
246	BDNF
247	BECN1
248	BEX3
249	BGLAP
250	BGN
251	BHLHE40
252	BHMT2
253	BID
254	BIN2
255	BIRC2
256	BLMH
257	BLNK
258	BLOC1S2
