uniprot_id	gene_symbol
A0FGR8	ESYT2
A1BG	A1BG
A1E959	ODAM
A1KZ92	PXDNL
A1L4H1	SSC5D
A2VDF0	FUOM
A4D1B5	GSAP
A6BM72	MEGF11
A6NC86	PINLYP
A6NCE7	MAP1LC3B2
A6NDB9	PALM3
A6NFN3	RBFOX3
A6NGG8	PCARE
A6NGN9	IGLON5
A6NHS7	MANSC4
A6NI73	LILRA5
A6NLU5	VSTM2B
A6NM11	LRRC37A2
A7E2Y1	MYH7B
A8MTB9	CEACAM18
A8MVW0	FAM171A2
A8MVW5	HEPACAM2
A8MVZ5	BTNL10
A8MYV0	DCDC2C
AAMDC	AAMDC
AARSD1	AARSD1
ABCA2	ABCA2
ABHD14B	ABHD14B
ABL1	ABL1
ABO	ABO
ABRAXAS2	ABRAXAS2
ACAA1	ACAA1
ACADM	ACADM
ACADSB	ACADSB
ACAN	ACAN
ACAN.3280.49.2	ACAN
ACBD7.13563.259.3	ACBD7
ACE2	ACE2
ACHE	ACHE
ACOX1	ACOX1
ACP1	ACP1
ACP5	ACP5
ACP6	ACP6
ACRBP	ACRBP
ACRV1	ACRV1
ACTA2	ACTA2
ACTN2	ACTN2
ACTN4	ACTN4
ACVRL1	ACVRL1
ACY1	ACY1
ACY3	ACY3
ACYP1	ACYP1
ADA	ADA
ADA2	ADA2
ADAM12	ADAM12
ADAM15	ADAM15
ADAM22	ADAM22
ADAM23	ADAM23
ADAM8	ADAM8
ADAM9	ADAM9
ADAMTS1	ADAMTS1
ADAMTS13	ADAMTS13
ADAMTS15	ADAMTS15
ADAMTS16	ADAMTS16
ADAMTS4	ADAMTS4
ADAMTS4.2809.25.2	ADAMTS4
ADAMTS5	ADAMTS5
ADAMTS5.3168.8.2	ADAMTS5
ADAMTS8	ADAMTS8
ADAMTSL2	ADAMTSL2
ADAMTSL4	ADAMTSL4
ADAMTSL5	ADAMTSL5
ADCYAP1R1	ADCYAP1R1
ADD1	ADD1
ADGRB3	ADGRB3
ADGRD1	ADGRD1
ADGRE1	ADGRE1
ADGRE2	ADGRE2
ADGRE5	ADGRE5
ADGRF5	ADGRF5
ADGRG1	ADGRG1
ADGRG2	ADGRG2
ADGRV1	ADGRV1
ADH1B	ADH1B
ADH4	ADH4
ADIPOQ	ADIPOQ
ADM	ADM
ADRA2A	ADRA2A
AFAP1	AFAP1
AFM	AFM
AFP	AFP
AFP.5792.8.2	AFP
AGBL2	AGBL2
AGER	AGER
AGER.4125.52.2	AGER
AGR2	AGR2
AGR3	AGR3
AGRN	AGRN
AGRP	AGRP
AGRP.2813.11.2	AGRP
AGT	AGT
AGXT	AGXT
AHCY	AHCY
AHNAK2	AHNAK2
AHSA1	AHSA1
AHSG	AHSG
AHSG.3581.53.3	AHSG
AHSP	AHSP
AIDA	AIDA
AIF1	AIF1
AIF1L	AIF1L
AIFM1	AIFM1
AK1	AK1
AK2	AK2
AKAP12	AKAP12
AKR1B1	AKR1B1
AKR1B10	AKR1B10
AKR1C1.12618.50.3	AKR1C1
AKR1C4	AKR1C4
AKR7L	AKR7L
AKT1S1	AKT1S1
AKT2	AKT2
AKT3	AKT3
ALCAM	ALCAM
ALDH1A1	ALDH1A1
ALDH3A1	ALDH3A1
ALDH5A1	ALDH5A1
ALMS1	ALMS1
ALPI	ALPI
ALPP	ALPP
AMBN	AMBN
AMBP	AMBP
AMDHD2	AMDHD2
AMFR	AMFR
AMIGO2	AMIGO2
AMN	AMN
AMOT	AMOT
AMOTL2	AMOTL2
AMPD3	AMPD3
AMY1A_AMY1B_AMY1C	AMY1A_AMY1B_AMY1C
AMY2A	AMY2A
AMY2B	AMY2B
ANAPC10.12345.4.3	ANAPC10
ANG	ANG
ANGPT1	ANGPT1
ANGPT2	ANGPT2
ANGPTL1	ANGPTL1
ANGPTL2	ANGPTL2
ANGPTL3	ANGPTL3
ANGPTL4	ANGPTL4
ANGPTL7	ANGPTL7
ANK2	ANK2
ANKMY2	ANKMY2
ANKRA2	ANKRA2
ANKRD54	ANKRD54
ANP32C	ANP32C
ANPEP	ANPEP
ANXA1	ANXA1
ANXA10	ANXA10
ANXA11	ANXA11
ANXA2	ANXA2
ANXA3	ANXA3
ANXA4	ANXA4
ANXA5	ANXA5
ANXA9.13588.11.3	ANXA9
AOC1	AOC1
AOC2.6434.18.3	AOC2
AOC3	AOC3
AP2B1	AP2B1
AP3B1	AP3B1
APBB1IP	APBB1IP
APCS	APCS
APEX1	APEX1
APLP1	APLP1
APLP2.10627.87.3	APLP2
APMAP.10605.22.3	APMAP
APOA1	APOA1
APOA2	APOA2
APOA4	APOA4
APOA5.12908.15.3	APOA5
APOB	APOB
APOB.2797.56.2	APOB
APOBR	APOBR
APOC1	APOC1
APOD	APOD
APOD.8262.20.3	APOD
APOE	APOE
APOF	APOF
APOH	APOH
APOL1	APOL1
APOL1.11510.31.3	APOL1
APOM	APOM
APOM.10445.20.3	APOM
APP	APP
APPL1.12825.18.3	APPL1
APRT	APRT
ARAF	ARAF
AREG	AREG
ARF6	ARF6
ARFIP2.12630.8.3	ARFIP2
ARG1	ARG1
ARG2	ARG2
ARHGAP1	ARHGAP1
ARHGAP25	ARHGAP25
ARHGAP30	ARHGAP30
ARHGAP30.12807.89.3	ARHGAP30
ARHGAP45	ARHGAP45
ARHGAP5	ARHGAP5
ARHGEF1	ARHGEF1
ARHGEF10	ARHGEF10
ARHGEF12	ARHGEF12
ARHGEF5	ARHGEF5
ARID3A	ARID3A
ARID4B	ARID4B
ARL13B	ARL13B
ARL2BP	ARL2BP
ARMCX2	ARMCX2
ARNT	ARNT
ARNTL	ARNTL
ARSA	ARSA
ARSB	ARSB
ARSK.8269.327.3	ARSK
ART3	ART3
ART3.7970.315.3	ART3
ART5	ART5
ARTN	ARTN
ASAH1	ASAH1
ASAH2	ASAH2
ASGR1	ASGR1
ASGR2	ASGR2
ASGR2.9474.22.3	ASGR2
ASPN.6451.64.3	ASPN
ASRGL1	ASRGL1
ASS1	ASS1
ATF2	ATF2
ATF4	ATF4
ATF6.11277.23.3	ATF6
ATG16L1	ATG16L1
ATG4A	ATG4A
ATOX1	ATOX1
ATP1B1	ATP1B1
ATP1B2	ATP1B2
ATP1B2.7218.87.3	ATP1B2
ATP1B3	ATP1B3
ATP1B4	ATP1B4
ATP2B4	ATP2B4
ATP5F1D	ATP5F1D
ATP5IF1	ATP5IF1
ATP5PO	ATP5PO
ATP6AP2	ATP6AP2
ATP6V1D	ATP6V1D
ATP6V1F	ATP6V1F
ATP6V1G2	ATP6V1G2
ATRAID	ATRAID
ATRN	ATRN
ATXN10	ATXN10
ATXN2	ATXN2
ATXN2L	ATXN2L
ATXN3	ATXN3
AURKA.3091.70.2	AURKA
AXIN1	AXIN1
AXIN2.12925.105.3	AXIN2
AXL	AXL
AZU1	AZU1
B0FP48	UPK3BL1
B1AKI9	ISM1
B2M	B2M
B2RUY7	VWC2L
B3GALTL.5727.35.3	B3GALTL
B3GNT7	B3GNT7
B3GNT8.9297.12.3	B3GNT8
B4GALT1	B4GALT1
B4GALT7.7806.33.3	B4GALT7
B4GAT1	B4GAT1
B6A8C7	TARM1
B6SEH8	ERVV-1
BACH1	BACH1
BACH2.12756.3.3	BACH2
BAG3	BAG3
BAG4	BAG4
BAG6	BAG6
BAIAP2	BAIAP2
BAMBI	BAMBI
BANK1	BANK1
BAP18	BAP18
BATF	BATF
BATF3.8858.21.3	BATF3
BAX	BAX
BCAM	BCAM
BCAN	BCAN
BCAN.3461.58.1	BCAN
BCAT1	BCAT1
BCHE	BCHE
BCL10.8768.4.3	BCL10
BCL2	BCL2
BCL2L1	BCL2L1
BCL2L11	BCL2L11
BCL7A	BCL7A
BCR	BCR
BDNF	BDNF
BECN1	BECN1
BET1L.10959.125.3	BET1L
BEX3	BEX3
BGLAP	BGLAP
BGN	BGN
BGN.13690.26.3	BGN
BGN.3284.75.1	BGN
BHLHE40	BHLHE40
BID	BID
BIN2	BIN2
BIRC2	BIRC2
BLMH	BLMH
BLNK	BLNK
BLOC1S2	BLOC1S2
BLOC1S3	BLOC1S3
BLVRB	BLVRB
BMP10	BMP10
BMP4	BMP4
BMP6	BMP6
BMPER.3654.27.5	BMPER
BMPR1A.4859.6.1	BMPR1A
BNIP2	BNIP2
BNIP3.7045.4.3	BNIP3
BNIP3L	BNIP3L
BOC	BOC
BOLA1	BOLA1
BPIFA2	BPIFA2
BPIFB1	BPIFB1
BPIFB2	BPIFB2
BRAP	BRAP
BRD1	BRD1
BRD2	BRD2
BRD3	BRD3
BRDT	BRDT
BRK1	BRK1
BRME1	BRME1
BRSK2	BRSK2
BRSK2.9790.28.3	BRSK2
BSG	BSG
BSND	BSND
BST1	BST1
BST2	BST2
BTC	BTC
BTLA	BTLA
BTN1A1	BTN1A1
BTN2A1	BTN2A1
BTN3A2	BTN3A2
BTNL10	BTNL10
C17orf78.8545.14.3	C17orf78
C19orf12	C19orf12
C1GALT1C1	C1GALT1C1
C1QA	C1QA
C1QBP	C1QBP
C1QL2	C1QL2
C1QTNF1	C1QTNF1
C1QTNF3.7251.64.3	C1QTNF3
C1QTNF5	C1QTNF5
C1QTNF6	C1QTNF6
C1QTNF9	C1QTNF9
C1R	C1R
C1RL	C1RL
C1RL.9348.1.3	C1RL
C1S	C1S
C1orf210.8088.56.3	C1orf210
C1orf226.7989.5.3	C1orf226
C2	C2
C2CD2L	C2CD2L
C2orf69	C2orf69
C3	C3
C4BPB	C4BPB
C5	C5
C7	C7
C7orf50	C7orf50
C8B	C8B
C9	C9
C9orf40	C9orf40
C9orf89.7778.104.3	C9orf89
CA1	CA1
CA11	CA11
CA12	CA12
CA13	CA13
CA14	CA14
CA2	CA2
CA3	CA3
CA4	CA4
CA5A	CA5A
CA6	CA6
CA7	CA7
CA8	CA8
CA9	CA9
CABP2	CABP2
CACNA1H	CACNA1H
CACNB3	CACNB3
CACYBP	CACYBP
CADPS	CADPS
CALB1	CALB1
CALB2	CALB2
CALCA	CALCA
CALCB	CALCB
CALCOCO1	CALCOCO1
CALR.5264.65.3	CALR
CALY	CALY
CAMKK1	CAMKK1
CAMKK1.3877.67.2	CAMKK1
CAMLG	CAMLG
CAMSAP1	CAMSAP1
CANT1	CANT1
CAPG	CAPG
CAPN3	CAPN3
CAPN3.12385.4.3	CAPN3
CAPS	CAPS
CARHSP1	CARHSP1
CASP1	CASP1
CASP10	CASP10
CASP2	CASP2
CASP3	CASP3
CASP4	CASP4
CASP8	CASP8
CASP9	CASP9
CASQ2	CASQ2
CAST.3026.5.2	CAST
CAT	CAT
CBLIF	CBLIF
CBLN1	CBLN1
CBLN4	CBLN4
CBR1.12381.26.3	CBR1
CBS	CBS
CBX2	CBX2
CC2D1A	CC2D1A
CCAR2	CCAR2
CCDC126.6388.21.3	CCDC126
CCDC134	CCDC134
CCDC28A	CCDC28A
CCDC50	CCDC50
CCDC80	CCDC80
CCDC80.3234.23.2	CCDC80
CCER2	CCER2
CCL11	CCL11
CCL11.5301.7.3	CCL11
CCL13	CCL13
CCL14	CCL14
CCL15	CCL15
CCL16	CCL16
CCL16.4913.78.1	CCL16
CCL17	CCL17
CCL17.3519.3.2	CCL17
CCL18	CCL18
CCL19	CCL19
CCL2	CCL2
CCL20	CCL20
CCL21	CCL21
CCL22	CCL22
CCL22.3508.78.3	CCL22
CCL23	CCL23
CCL23.2913.1.2	CCL23
CCL24	CCL24
CCL25	CCL25
CCL25.14068.29.3	CCL25
CCL26	CCL26
CCL26.9168.31.3	CCL26
CCL27	CCL27
CCL28	CCL28
CCL3	CCL3
CCL4	CCL4
CCL5	CCL5
CCL7	CCL7
CCL8	CCL8
CCN1	CCN1
CCN2	CCN2
CCN3	CCN3
CCN4	CCN4
CCN5	CCN5
CCNE1	CCNE1
CCS	CCS
CCT5	CCT5
CD101	CD101
CD109	CD109
CD14	CD14
CD160	CD160
CD163	CD163
CD164	CD164
CD164L2	CD164L2
CD177	CD177
CD177.13116.25.3	CD177
CD1C	CD1C
CD2	CD2
CD200	CD200
CD200R1	CD200R1
CD200R1L.8980.19.3	CD200R1L
CD207	CD207
CD209	CD209
CD209.3029.52.2	CD209
CD22	CD22
CD244	CD244
CD248	CD248
CD27	CD27
CD274	CD274
CD276	CD276
CD28	CD28
CD2AP	CD2AP
CD300A	CD300A
CD300C	CD300C
CD300C.5066.134.3	CD300C
CD300E	CD300E
CD300LF	CD300LF
CD300LG	CD300LG
CD302	CD302
CD33	CD33
CD34	CD34
CD34.9023.9.3	CD34
CD36	CD36
CD36.2973.15.2	CD36
CD38	CD38
CD3E	CD3E
CD3G	CD3G
CD4	CD4
CD40	CD40
CD40LG	CD40LG
CD46	CD46
CD48	CD48
CD5	CD5
CD55	CD55
CD58	CD58
CD58.10938.13.3	CD58
CD59	CD59
CD5L	CD5L
CD6	CD6
CD63	CD63
CD69	CD69
CD7	CD7
CD70	CD70
CD72	CD72
CD74	CD74
CD79B	CD79B
CD80	CD80
CD83	CD83
CD84	CD84
CD84.3642.4.1	CD84
CD8A	CD8A
CD93	CD93
CD93.14136.234.3	CD93
CD99	CD99
CD99L2	CD99L2
CDA	CDA
CDC123	CDC123
CDC25A	CDC25A
CDC26	CDC26
CDC27	CDC27
CDC37	CDC37
CDC42.9840.2.3	CDC42
CDC42BPB	CDC42BPB
CDCP1	CDCP1
CDH1	CDH1
CDH15	CDH15
CDH17	CDH17
CDH2	CDH2
CDH22	CDH22
CDH23	CDH23
CDH3	CDH3
CDH4	CDH4
CDH5	CDH5
CDH6	CDH6
CDHR1	CDHR1
CDHR2	CDHR2
CDHR3.8222.49.3	CDHR3
CDHR5	CDHR5
CDK5RAP3	CDK5RAP3
CDKL5	CDKL5
CDKN1A	CDKN1A
CDKN2D	CDKN2D
CDKN3.14178.18.3	CDKN3
CDNF	CDNF
CDON	CDON
CDON.4541.49.2	CDON
CDSN	CDSN
CEACAM1	CEACAM1
CEACAM16	CEACAM16
CEACAM18	CEACAM18
CEACAM19	CEACAM19
CEACAM20	CEACAM20
CEACAM21	CEACAM21
CEACAM3	CEACAM3
CEACAM4.10910.6.3	CEACAM4
CEACAM5	CEACAM5
CEACAM6	CEACAM6
CEACAM8	CEACAM8
CEBPA	CEBPA
CEBPB	CEBPB
CELA2A	CELA2A
CELA3A	CELA3A
CELSR2	CELSR2
CEMIP2	CEMIP2
CEND1	CEND1
CENPJ	CENPJ
CENPW.8864.59.3	CENPW
CEP112	CEP112
CEP164	CEP164
CEP20	CEP20
CEP350	CEP350
CEP43	CEP43
CEP57.9067.152.3	CEP57
CEP85	CEP85
CERT	CERT
CES1	CES1
CES2	CES2
CES3	CES3
CETN2	CETN2
CETN3	CETN3
CFB	CFB
CFC1	CFC1
CFD	CFD
CFH	CFH
CFHR2	CFHR2
CFHR4	CFHR4
CFHR5	CFHR5
CFI	CFI
CFP	CFP
CGA	CGA
CGA.FSHB.3032.11.2	CGA.FSHB.3032.11.2
CGB3_CGB5_CGB8	CGB3_CGB5_CGB8
CGN	CGN
CGREF1	CGREF1
CHAC2	CHAC2
CHAD	CHAD
CHAD.13460.4.3	CHAD
CHCHD10	CHCHD10
CHCHD6	CHCHD6
CHEK2	CHEK2
CHGA	CHGA
CHGB	CHGB
CHI3L1	CHI3L1
CHIT1	CHIT1
CHIT1.3600.2.3	CHIT1
CHKB.13117.232.3	CHKB
CHL1	CHL1
CHM	CHM
CHMP1A	CHMP1A
CHMP6	CHMP6
CHP1	CHP1
CHRDL1	CHRDL1
CHRDL2	CHRDL2
CHRDL2.6086.15.3	CHRDL2
CHRM1	CHRM1
CIAPIN1	CIAPIN1
CILP	CILP
CIRBP	CIRBP
CISD2.8094.20.3	CISD2
CIT	CIT
CKAP2.5345.51.3	CKAP2
CKAP4	CKAP4
CKB	CKB
CKM.2670.67.4	CKM
CKMT1A_CKMT1B	CKMT1A_CKMT1B
CLASP1	CLASP1
CLC	CLC
CLC.11094.104.3	CLC
CLEC10A	CLEC10A
CLEC11A	CLEC11A
CLEC12A	CLEC12A
CLEC14A	CLEC14A
CLEC1A	CLEC1A
CLEC1B	CLEC1B
CLEC2L	CLEC2L
CLEC3B	CLEC3B
CLEC4A	CLEC4A
CLEC4C	CLEC4C
CLEC4D	CLEC4D
CLEC4G	CLEC4G
CLEC4M	CLEC4M
CLEC5A	CLEC5A
CLEC6A	CLEC6A
CLEC7A	CLEC7A
CLGN	CLGN
CLIC5	CLIC5
CLIC5.12475.48.3	CLIC5
CLIP2	CLIP2
CLMP	CLMP
CLNS1A	CLNS1A
CLPP	CLPP
CLPS	CLPS
CLSPN	CLSPN
CLSTN1	CLSTN1
CLSTN2	CLSTN2
CLSTN3	CLSTN3
CLTA	CLTA
CLU	CLU
CLUL1	CLUL1
CMC1	CMC1
CMIP	CMIP
CNDP1	CNDP1
CNGB3	CNGB3
CNOT1.13482.14.3	CNOT1
CNP	CNP
CNPY2	CNPY2
CNPY4	CNPY4
CNST	CNST
CNTF	CNTF
CNTN1	CNTN1
CNTN2	CNTN2
CNTN2.3296.92.2	CNTN2
CNTN3	CNTN3
CNTN4	CNTN4
CNTN5	CNTN5
CNTNAP2	CNTNAP2
CNTNAP4	CNTNAP4
COCH	COCH
COCH.7227.75.3	COCH
COG8.9543.131.3	COG8
COL11A2.11278.4.3	COL11A2
COL15A1	COL15A1
COL15A1.8974.172.3	COL15A1
COL18A1	COL18A1
COL1A1	COL1A1
COL24A1	COL24A1
COL2A1	COL2A1
COL3A1	COL3A1
COL4A1	COL4A1
COL5A1	COL5A1
COL6A3	COL6A3
COL9A1	COL9A1
COL9A2	COL9A2
COLEC12	COLEC12
COMMD9	COMMD9
COMP	COMP
COPB2	COPB2
COPE	COPE
COQ7	COQ7
CORO1A	CORO1A
CORO6	CORO6
COX5B	COX5B
COX6B1	COX6B1
CPA1	CPA1
CPA2	CPA2
CPA4	CPA4
CPB1	CPB1
CPB1.6356.3.3	CPB1
CPB2	CPB2
CPE	CPE
CPLX2	CPLX2
CPM	CPM
CPOX	CPOX
CPPED1	CPPED1
CPQ	CPQ
CPTP	CPTP
CPVL	CPVL
CPXM1	CPXM1
CPXM1.6255.74.3	CPXM1
CR1	CR1
CR2	CR2
CRACR2A	CRACR2A
CRADD	CRADD
CREB3	CREB3
CREG1	CREG1
CRELD1	CRELD1
CRELD2	CRELD2
CRH	CRH
CRHBP	CRHBP
CRHR1	CRHR1
CRIM1	CRIM1
CRIP2	CRIP2
CRISP2	CRISP2
CRISP3	CRISP3
CRISPLD2.5691.2.3	CRISPLD2
CRKL	CRKL
CRLF1	CRLF1
CRNN	CRNN
