idx	gene_symbol
0	A1BG
1	A1CF
2	A2M
3	A4GALT
4	AAAS
5	AACS
6	AADAT
7	AAGAB
8	AAK1
9	AAMDC
10	AAMP
11	AAR2
12	AARS2
13	AASDH
14	AASDHPPT
15	AASS
16	AATBC
17	AATF
18	AATK
19	ABAT
20	ABCA1
21	ABCA2
22	ABCA3
23	ABCA4
24	ABCA5
25	ABCA6
26	ABCA7
27	ABCA8
28	ABCA9
29	ABCB1
30	ABCB10
31	ABCB11
32	ABCB4
33	ABCB6
34	ABCB7
35	ABCB9
36	ABCC1
37	ABCC10
38	ABCC11
39	ABCC12
40	ABCC13
41	ABCC2
42	ABCC3
43	ABCC4
44	ABCC5
45	ABCC8
46	ABCC9
47	ABCD1
48	ABCD2
49	ABCD3
50	ABCD4
51	ABCE1
52	ABCF1
53	ABCF2
54	ABCF3
55	ABCG1
56	ABCG2
57	ABCG4
58	ABCG5
59	ABHD10
60	ABHD11
61	ABHD12
62	ABHD13
63	ABHD14B
64	ABHD15
65	ABHD16A
66	ABHD17A
67	ABHD17B
68	ABHD17C
69	ABHD18
70	ABHD2
71	ABHD3
72	ABHD4
73	ABHD5
74	ABHD6
75	ABHD8
76	ABI1
77	ABI2
78	ABI3
79	ABI3BP
80	ABL1
81	ABLIM1
82	ABLIM2
83	ABLIM3
84	ABO
85	ABR
86	ABRACL
87	ABT1
88	ABTB1
89	ABTB2
90	ACAA1
91	ACAA2
92	ACACA
93	ACACB
94	ACAD10
95	ACAD8
96	ACAD9
97	ACADL
98	ACADM
99	ACADS
100	ACADSB
101	ACADVL
102	ACAN
103	ACAP1
104	ACAP2
105	ACAT1
106	ACAT2
107	ACBD3
108	ACBD5
109	ACBD6
110	ACCS
111	ACD
112	ACER3
113	ACHE
114	ACIN1
115	ACKR1
116	ACKR2
117	ACKR3
118	ACKR4
119	ACLY
120	ACMSD
121	ACO1
122	ACO2
123	ACOT11
124	ACOT13
125	ACOT4
126	ACOT7
127	ACOT8
128	ACOT9
129	ACOX1
130	ACOX2
131	ACOX3
132	ACP1
133	ACP2
134	ACP5
135	ACP6
136	ACRBP
137	ACRV1
138	ACSBG1
139	ACSF2
140	ACSF3
141	ACSL1
142	ACSL3
143	ACSL4
144	ACSL5
145	ACSL6
146	ACSM3
147	ACSM5
148	ACSS1
149	ACSS2
150	ACSS3
151	ACTA2
152	ACTB
153	ACTC1
154	ACTL6A
155	ACTN1
156	ACTN2
157	ACTN4
158	ACTR10
159	ACTR1A
160	ACTR1B
161	ACTR2
162	ACTR3
163	ACTR3B
164	ACTR3C
165	ACTR5
166	ACTR6
167	ACTR8
168	ACVR1
169	ACVR1B
170	ACVR2A
171	ACVRL1
172	ACY1
173	ACYP1
174	ADA
175	ADAL
176	ADAM10
177	ADAM11
178	ADAM12
179	ADAM15
180	ADAM17
181	ADAM19
182	ADAM21
183	ADAM22
184	ADAM23
185	ADAM28
186	ADAM33
187	ADAM6
188	ADAM7
189	ADAM8
190	ADAM9
191	ADAMDEC1
192	ADAMTS1
193	ADAMTS10
194	ADAMTS13
195	ADAMTS14
196	ADAMTS17
197	ADAMTS19
198	ADAMTS3
199	ADAMTS4
200	ADAMTS5
201	ADAMTS6
202	ADAMTS8
203	ADAMTS9
204	ADAMTSL2
205	ADAMTSL3
206	ADAMTSL4
207	ADAMTSL5
208	ADAP1
209	ADAP2
210	ADAR
211	ADARB1
212	ADARB2
213	ADAT1
214	ADAT2
215	ADAT3
216	ADCK1
217	ADCK2
218	ADCK5
219	ADCY1
220	ADCY10
221	ADCY2
222	ADCY3
223	ADCY4
224	ADCY7
225	ADCY9
226	ADD1
227	ADD2
228	ADD3
229	ADGRA2
230	ADGRA3
231	ADGRB1
232	ADGRB2
233	ADGRB3
234	ADGRE5
235	ADGRF5
236	ADGRG1
237	ADGRG2
