cpg_id,beta_value
cg00000029,0.54
cg00000165,0.21
cg00000236,0.83
cg00000289,0.75
cg00000292,0.86
cg00000321,0.33
cg00000363,0.4
cg00000622,0.01
cg00000658,0.86
cg00000714,0.27
cg00000721,0.94
cg00000734,0.1
cg00000769,0.05
cg00000807,0.84
cg00000884,0.94
cg00000905,0.09
cg00000948,0.9
cg00001245,0.01
cg00001249,0.89
cg00001269,0.86
cg00001364,0.92
cg00001446,0.9
cg00001534,0.97
cg00001582,0.1
cg00001583,0.06
cg00001593,0.94
cg00001594,0.01
cg00001687,0.99
cg00001747,0.05
cg00001791,0.92
cg00001854,0.9
cg00001874,0.62
cg00001930,0.93
cg00002028,0.01
cg00002033,0.88
cg00002116,0.01
cg00002145,0.81
cg00002190,0.78
cg00002224,0.42
cg00002236,0.08
cg00002426,0.89
cg00002449,0.86
cg00002464,0.09
cg00002473,0.96
cg00002490,0.06
cg00002531,0.91
cg00002591,0.92
cg00002593,0.92
cg00002597,0.91
cg00002646,0.92
cg00002719,0.01
cg00002749,0.97
cg00002769,0.87
cg00002808,0.9
cg00002809,0.93
cg00002810,0.19
cg00002837,0.34
cg00003014,0.95
cg00003091,0.07
cg00003173,0.06
cg00003181,0.9
cg00003202,0.01
cg00003287,0.17
cg00003298,0.03
cg00003305,0.23
cg00003345,0.68
cg00003513,0.91
cg00003529,0.9
cg00003578,0.59
cg00003625,0.82
cg00003784,0.06
cg00003858,0.84
cg00003900,0.45
cg00003965,0.87
cg00003994,0.04
cg00004067,0.93
cg00004072,0.08
cg00004073,0.09
cg00004082,0.05
cg00004089,0.92
cg00004105,0.5
cg00004207,0.14
cg00004219,0.95
cg00004257,0.17
cg00004421,0.24
cg00004429,0.9
cg00004533,0.93
cg00004562,0.85
cg00004608,0.83
cg00004700,0.93
cg00004806,0.9
cg00004818,0.1
cg00004859,0.93
cg00004883,0.99
cg00004939,0.11
cg00004979,0.97
cg00004996,0.67
cg00005010,0.01
cg00005040,0.23
cg00005072,0.77
cg00005112,0.84
cg00005166,0.61
cg00005215,0.93
cg00005297,0.28
cg00005306,0.01
cg00005437,0.89
cg00005543,0.01
cg00005619,0.56
cg00005622,0.93
cg00005740,0.97
cg00005849,0.62
cg00005861,0.92
cg00006032,0.17
cg00006081,0.34
cg00006090,0.88
cg00006122,0.1
cg00006198,0.89
cg00006397,0.81
cg00006414,0.06
cg00006459,0.9
cg00006626,0.9
cg00006787,0.82
cg00006884,0.1
cg00006948,0.01
cg00007032,0.11
cg00007036,0.97
cg00007064,0.93
cg00007076,0.55
cg00007226,0.14
cg00007239,0.89
cg00007269,0.08
cg00007300,0.02
cg00007420,0.47
cg00007426,0.91
cg00007540,0.8
cg00007644,0.19
cg00007675,0.93
cg00007898,0.02
cg00007981,0.04
cg00008004,0.03
cg00008033,0.14
cg00008036,0.18
cg00008345,0.94
cg00008387,0.15
cg00008446,0.26
cg00008488,0.1
cg00008493,0.93
cg00008564,0.94
cg00008612,0.94
cg00008621,0.92
cg00008629,0.49
cg00008647,0.14
cg00008665,0.83
cg00008671,0.29
cg00008695,0.86
cg00008713,0.13
cg00008810,0.95
cg00008971,0.87
cg00009001,0.98
cg00009053,0.68
cg00009088,0.56
cg00009167,0.13
cg00009214,0.05
cg00009292,0.08
cg00009293,0.81
cg00009349,0.88
cg00009364,0.02
cg00009407,0.08
cg00009412,0.04
cg00009421,0.85
cg00009436,0.94
cg00009750,0.97
cg00009871,0.89
cg00009927,0.86
cg00010046,0.08
cg00010108,0.86
cg00010168,0.11
cg00010266,0.07
cg00010445,0.34
cg00010654,0.39
cg00010742,0.31
cg00010789,0.9
cg00010853,0.46
cg00010890,0.92
cg00010946,0.5
cg00010947,0.05
cg00010954,0.37
cg00010992,0.09
cg00011122,0.06
cg00011203,0.26
cg00011225,0.04
cg00011239,0.78
cg00011247,0.01
cg00011284,0.12
cg00011350,0.82
cg00011459,0.96
cg00011460,0.94
cg00011482,0.27
cg00011513,0.68
cg00011578,0.17
cg00011616,0.99
cg00011717,0.97
cg00011740,0.11
cg00011754,0.92
cg00011856,0.81
cg00011861,0.27
cg00011924,0.44
cg00012036,0.13
cg00012126,0.04
cg00012199,0.05
cg00012203,0.01
cg00012238,0.44
cg00012386,0.1
cg00012397,0.02
cg00012469,0.19
cg00012522,0.07
cg00012529,0.98
cg00012576,0.7
cg00012698,0.92
cg00012701,0.06
cg00012762,0.02
cg00012920,0.93
cg00012960,0.96
cg00012992,0.01
cg00013006,0.93
cg00013015,0.91
cg00013301,0.89
cg00013369,0.9
cg00013374,0.91
cg00013409,0.15
cg00013410,0.01
cg00013441,0.14
cg00013451,0.24
cg00013475,0.02
cg00013569,0.99
cg00013618,0.89
cg00013660,0.84
cg00013733,0.93
cg00013804,0.94
cg00013809,0.93
cg00013899,0.78
cg00013993,0.99
cg00014085,0.08
cg00014104,0.8
cg00014260,0.75
cg00014272,0.08
cg00014285,0.07
cg00014289,0.22
cg00014301,0.93
cg00014333,0.69
cg00014377,0.53
cg00014445,0.93
cg00014484,0.94
cg00014665,0.94
cg00014733,0.93
cg00014786,0.96
cg00014837,0.93
cg00014900,0.9
cg00014986,0.01
cg00014996,0.02
cg00014998,0.4
cg00015024,0.12
cg00015058,0.06
cg00015121,0.74
cg00015319,0.39
cg00015343,0.85
cg00015373,0.92
cg00015530,0.06
cg00015603,0.88
cg00015639,0.89
cg00015699,0.96
cg00015770,0.26
cg00015930,0.98
cg00016066,0.01
cg00016127,0.93
cg00016156,0.04
cg00016238,0.94
cg00016255,0.6
cg00016324,0.96
cg00016406,0.99
cg00016481,0.98
cg00016593,0.89
cg00016718,0.93
cg00016783,0.89
cg00016841,0.13
cg00016913,0.34
cg00016968,0.86
cg00017002,0.03
cg00017121,0.91
cg00017188,0.03
cg00017271,0.94
cg00017362,0.9
cg00017363,0.99
