idx	cpg_id
0	cg00000165
1	cg00001687
2	cg00002033
3	cg00002473
4	cg00002749
5	cg00003407
6	cg00003994
7	cg00004257
8	cg00005215
9	cg00007239
10	cg00007540
11	cg00008488
12	cg00008671
13	cg00009871
14	cg00011861
15	cg00011924
16	cg00011943
17	cg00012238
18	cg00015770
19	cg00017842
20	cg00017931
21	cg00017970
22	cg00018181
23	cg00021532
24	cg00021978
25	cg00022866
26	cg00023464
27	cg00025138
28	cg00027083
29	cg00027162
30	cg00029246
31	cg00030466
32	cg00032205
33	cg00033066
34	cg00035630
35	cg00036045
36	cg00036119
37	cg00036347
38	cg00038760
39	cg00039845
40	cg00039864
41	cg00040873
42	cg00042904
43	cg00043004
44	cg00043095
45	cg00043599
46	cg00044501
47	cg00046991
48	cg00047050
49	cg00048759
50	cg00049440
51	cg00050402
52	cg00052433
53	cg00052482
54	cg00053073
55	cg00053647
56	cg00054496
57	cg00054525
58	cg00055555
59	cg00056066
60	cg00056497
61	cg00057476
62	cg00058009
63	cg00059225
64	cg00060320
65	cg00060374
66	cg00063077
67	cg00063979
68	cg00065598
69	cg00065944
70	cg00066239
71	cg00067518
72	cg00071360
73	cg00073090
74	cg00073460
75	cg00073543
76	cg00074086
77	cg00074818
78	cg00075967
79	cg00077044
80	cg00077898
81	cg00078458
82	cg00079056
83	cg00083059
84	cg00083937
85	cg00084338
86	cg00084720
87	cg00085420
88	cg00085430
89	cg00085493
90	cg00087067
91	cg00088042
92	cg00088575
93	cg00089528
94	cg00089550
95	cg00089915
96	cg00090261
97	cg00090282
98	cg00091483
99	cg00091693
100	cg00092301
101	cg00094036
102	cg00094303
103	cg00094518
104	cg00095976
105	cg00096065
106	cg00096979
107	cg00098175
108	cg00099240
109	cg00099441
110	cg00099869
111	cg00101154
112	cg00101235
113	cg00102166
114	cg00102512
115	cg00102685
116	cg00103778
117	cg00106564
118	cg00107606
119	cg00107782
120	cg00108098
121	cg00108108
122	cg00108164
123	cg00108554
124	cg00108715
125	cg00112187
126	cg00112465
127	cg00112685
128	cg00113951
129	cg00114478
130	cg00115654
131	cg00115864
132	cg00116092
133	cg00116658
134	cg00117599
135	cg00117869
136	cg00120286
137	cg00125768
138	cg00126959
139	cg00131893
140	cg00132141
141	cg00134539
142	cg00135293
143	cg00136547
144	cg00137209
145	cg00145103
146	cg00145587
147	cg00148423
148	cg00148464
149	cg00149213
150	cg00149716
151	cg00150168
152	cg00151250
153	cg00151370
154	cg00151680
155	cg00154159
156	cg00156551
157	cg00158122
158	cg00158227
159	cg00158683
160	cg00161556
161	cg00161791
162	cg00163372
163	cg00166216
164	cg00167783
165	cg00168439
166	cg00168783
167	cg00168942
168	cg00169030
169	cg00172371
170	cg00172672
171	cg00172812
172	cg00173498
173	cg00173659
174	cg00173799
175	cg00173854
176	cg00180711
177	cg00181968
178	cg00184919
179	cg00186842
180	cg00192031
181	cg00192468
182	cg00192773
183	cg00193490
184	cg00194146
185	cg00194325
186	cg00195322
187	cg00199846
188	cg00200653
189	cg00202454
190	cg00203466
191	cg00209398
192	cg00211115
193	cg00211944
194	cg00216073
195	cg00218406
196	cg00219921
197	cg00220102
198	cg00220419
199	cg00221070
200	cg00222799
201	cg00223715
202	cg00224222
203	cg00224487
204	cg00226815
205	cg00228017
206	cg00229508
207	cg00230271
208	cg00231483
209	cg00231810
210	cg00232500
211	cg00233948
212	cg00235865
213	cg00236991
214	cg00237086
215	cg00238295
216	cg00238508
217	cg00239061
218	cg00239899
219	cg00241002
220	cg00241482
221	cg00241638
222	cg00241664
223	cg00242950
224	cg00245057
225	cg00245896
226	cg00249943
227	cg00250826
228	cg00252095
229	cg00252472
230	cg00252534
231	cg00253398
232	cg00253658
233	cg00254470
234	cg00255882
235	cg00257455
236	cg00260883
237	cg00261781
238	cg00262132
239	cg00262681
240	cg00264112
241	cg00265788
242	cg00270625
243	cg00271522
244	cg00276799
245	cg00277039
246	cg00277334
247	cg00277397
248	cg00282953
249	cg00285174
250	cg00287370
251	cg00289429
252	cg00289431
253	cg00290373
254	cg00290506
255	cg00290607
256	cg00290758
257	cg00292305
258	cg00292452
259	cg00292639
260	cg00292662
261	cg00293626
262	cg00294538
263	cg00294718
264	cg00295303
265	cg00295744
266	cg00296005
267	cg00296038
268	cg00296348
269	cg00297600
270	cg00297912
271	cg00297950
272	cg00298065
273	cg00298921
274	cg00299396
275	cg00300233
276	cg00300523
277	cg00300637
278	cg00301762
279	cg00302979
280	cg00303541
281	cg00303982
282	cg00307557
283	cg00307685
284	cg00310410
285	cg00312919
286	cg00312921
287	cg00314660
288	cg00316485
289	cg00318111
290	cg00318519
291	cg00318766
292	cg00318947
293	cg00322212
294	cg00325968
295	cg00326464
296	cg00329270
297	cg00329615
298	cg00330279
299	cg00330518
300	cg00331334
301	cg00332048
302	cg00332153
303	cg00332802
304	cg00333698
305	cg00333755
306	cg00335286
307	cg00335428
308	cg00335735
309	cg00336149
310	cg00338702
311	cg00338928
312	cg00339012
313	cg00339281
314	cg00340052
315	cg00342891
316	cg00343092
317	cg00344422
318	cg00346145
319	cg00346985
320	cg00347369
321	cg00347563
322	cg00347620
323	cg00347775
324	cg00347863
325	cg00347882
326	cg00348763
